instance_name;job_count;resource_count;operation_count;partial_res_util_span;lower_bound
lg_0_1;50;8;1000;1.814;8681
lg_0_10;50;8;1000;1.981;9505
lg_0_11;60;8;1200;1.834;10484
lg_0_12;60;8;1200;1.91;8575
lg_0_13;60;8;1200;2.144;9132
lg_0_14;60;8;1200;1.761;7958
lg_0_15;60;8;1200;2.049;8616
lg_0_16;60;8;1200;2.016;9335
lg_0_17;60;8;1200;2.016;9934
lg_0_18;60;8;1200;2.257;9235
lg_0_19;60;8;1200;1.779;8880
lg_0_2;50;8;1000;2.2;6449
lg_0_20;60;8;1200;2.149;8853
lg_0_21;70;8;1400;2.06;12225
lg_0_22;70;8;1400;1.613;13090
lg_0_23;70;8;1400;1.866;10395
lg_0_24;70;8;1400;1.863;9733
lg_0_25;70;8;1400;2.153;9260
lg_0_26;70;8;1400;1.77;8685
lg_0_27;70;8;1400;2.359;12846
lg_0_28;70;8;1400;2.225;10864
lg_0_29;70;8;1400;1.622;9408
lg_0_3;50;8;1000;2.144;7734
lg_0_30;70;8;1400;2.157;9868
lg_0_4;50;8;1000;1.914;6320
lg_0_5;50;8;1000;1.593;7726
lg_0_6;50;8;1000;1.982;7058
lg_0_7;50;8;1000;2.374;6923
lg_0_8;50;8;1000;1.693;7343
lg_0_9;50;8;1000;2.013;7620
lg_100_1;50;8;1000;2.189;6988
lg_100_10;50;8;1000;2.149;7035
lg_100_11;60;8;1200;2.494;10358
lg_100_12;60;8;1200;2.22;8298
lg_100_13;60;8;1200;2.35;9136
lg_100_14;60;8;1200;2.286;8365
lg_100_15;60;8;1200;2.245;8820
lg_100_16;60;8;1200;2.163;9363
lg_100_17;60;8;1200;2.245;8871
lg_100_18;60;8;1200;2.027;11320
lg_100_19;60;8;1200;2.222;10553
lg_100_2;50;8;1000;2.458;5803
lg_100_20;60;8;1200;2.447;10818
lg_100_21;70;8;1400;2.083;11339
lg_100_22;70;8;1400;2.417;11753
lg_100_23;70;8;1400;1.683;11314
lg_100_24;70;8;1400;1.957;9304
lg_100_25;70;8;1400;2.449;10649
lg_100_26;70;8;1400;2.275;8675
lg_100_27;70;8;1400;2.227;9880
lg_100_28;70;8;1400;2.136;10020
lg_100_29;70;8;1400;2.396;10296
lg_100_3;50;8;1000;2.2;6428
lg_100_30;70;8;1400;2.02;9625
lg_100_4;50;8;1000;2.487;7508
lg_100_5;50;8;1000;2.215;7966
lg_100_6;50;8;1000;2.397;6828
lg_100_7;50;8;1000;2.388;9091
lg_100_8;50;8;1000;2.367;7641
lg_100_9;50;8;1000;2.287;7883
lg_50_1;50;8;1000;2.842;8181
lg_50_10;50;8;1000;1.978;6370
lg_50_11;60;8;1200;2.819;8866
lg_50_12;60;8;1200;3.59;9880
lg_50_13;60;8;1200;2.363;9234
lg_50_14;60;8;1200;2.418;7684
lg_50_15;60;8;1200;2.637;8198
lg_50_16;60;8;1200;1.804;8389
lg_50_17;60;8;1200;2.265;8260
lg_50_18;60;8;1200;2.576;8729
lg_50_19;60;8;1200;2.953;11420
lg_50_2;50;8;1000;4.803;8736
lg_50_20;60;8;1200;2.908;9391
lg_50_21;70;8;1400;1.838;11407
lg_50_22;70;8;1400;2.743;10165
lg_50_23;70;8;1400;3.817;11072
lg_50_24;70;8;1400;2.714;11555
lg_50_25;70;8;1400;4.164;10217
lg_50_26;70;8;1400;1.658;10680
lg_50_27;70;8;1400;3.557;10278
lg_50_28;70;8;1400;3.734;9908
lg_50_29;70;8;1400;4.384;13585
lg_50_3;50;8;1000;2.64;6972
lg_50_30;70;8;1400;2.03;10039
lg_50_4;50;8;1000;2.503;7631
lg_50_5;50;8;1000;2.517;7512
lg_50_6;50;8;1000;2.844;7635
lg_50_7;50;8;1000;4.239;8807
lg_50_8;50;8;1000;3.83;8690
lg_50_9;50;8;1000;4.529;9472
lg_75_1;50;8;1000;2.327;7366
lg_75_10;50;8;1000;2.975;8304
lg_75_11;60;8;1200;2.379;8036
lg_75_12;60;8;1200;3.37;8076
lg_75_13;60;8;1200;2.451;9297
lg_75_14;60;8;1200;2.74;8109
lg_75_15;60;8;1200;1.56;7965
lg_75_16;60;8;1200;1.944;9059
lg_75_17;60;8;1200;2.609;8955
lg_75_18;60;8;1200;2.435;11742
lg_75_19;60;8;1200;2.686;9498
lg_75_2;50;8;1000;1.917;6019
lg_75_20;60;8;1200;2.54;9875
lg_75_21;70;8;1400;1.888;10156
lg_75_22;70;8;1400;2.396;11278
lg_75_23;70;8;1400;1.923;11054
lg_75_24;70;8;1400;1.838;10329
lg_75_25;70;8;1400;2.556;14200
lg_75_26;70;8;1400;2.795;12694
lg_75_27;70;8;1400;1.71;11340
lg_75_28;70;8;1400;2.3;10842
lg_75_29;70;8;1400;3.18;11133
lg_75_3;50;8;1000;2.361;7799
lg_75_30;70;8;1400;1.829;12283
lg_75_4;50;8;1000;2.425;7148
lg_75_5;50;8;1000;2.362;7098
lg_75_6;50;8;1000;2.218;7806
lg_75_7;50;8;1000;2.564;7729
lg_75_8;50;8;1000;2.041;7814
lg_75_9;50;8;1000;2.833;9558
md_0_1;10;5;150;1.88;1828
md_0_10;10;5;150;1.76;1579
md_0_11;20;5;300;1.472;3816
md_0_12;20;5;300;1.635;3710
md_0_13;20;5;300;1.535;3533
md_0_14;20;5;300;1.436;3968
md_0_15;20;5;300;2.221;2980
md_0_16;20;5;300;1.668;3350
md_0_17;20;5;300;1.572;3892
md_0_18;20;5;300;1.356;3262
md_0_19;20;5;300;1.843;3178
md_0_2;10;5;150;1.929;1705
md_0_20;20;5;300;1.74;3216
md_0_21;30;5;450;1.234;5734
md_0_22;30;5;450;2.132;4844
md_0_23;30;5;450;1.554;5424
md_0_24;30;5;450;1.628;5345
md_0_25;30;5;450;1.848;5070
md_0_26;30;5;450;2.033;4607
md_0_27;30;5;450;1.896;4848
md_0_28;30;5;450;1.733;6213
md_0_29;30;5;450;1.867;4996
md_0_3;10;5;150;2.026;1740
md_0_30;30;5;450;1.504;5995
md_0_4;10;5;150;1.984;1648
md_0_5;10;5;150;1.859;1551
md_0_6;10;5;150;1.398;1869
md_0_7;10;5;150;1.864;1446
md_0_8;10;5;150;1.796;2100
md_0_9;10;5;150;2.035;1818
md_100_1;10;5;150;1.214;1518
md_100_10;10;5;150;2.116;1902
md_100_11;20;5;300;1.973;4440
md_100_12;20;5;300;2.5;2888
md_100_13;20;5;300;2.337;3124
md_100_14;20;5;300;2.204;3078
md_100_15;20;5;300;2.23;3640
md_100_16;20;5;300;1.812;3749
md_100_17;20;5;300;1.731;3441
md_100_18;20;5;300;2.08;3451
md_100_19;20;5;300;2.49;3956
md_100_2;10;5;150;1.333;1523
md_100_20;20;5;300;1.826;3008
md_100_21;30;5;450;1.984;5854
md_100_22;30;5;450;2.382;4969
md_100_23;30;5;450;1.713;5756
md_100_24;30;5;450;2.424;5441
md_100_25;30;5;450;1.548;4986
md_100_26;30;5;450;1.946;5174
md_100_27;30;5;450;1.049;5667
md_100_28;30;5;450;2.202;5133
md_100_29;30;5;450;2.163;4675
md_100_3;10;5;150;2.25;2831
md_100_30;30;5;450;2.024;5715
md_100_4;10;5;150;2.408;2112
md_100_5;10;5;150;1.888;1901
md_100_6;10;5;150;2.105;1984
md_100_7;10;5;150;2.182;2309
md_100_8;10;5;150;2;1902
md_100_9;10;5;150;1.644;1860
md_50_1;10;5;150;2.584;2410
md_50_10;10;5;150;2.608;1870
md_50_11;20;5;300;2.072;2967
md_50_12;20;5;300;2.181;3571
md_50_13;20;5;300;1.473;3252
md_50_14;20;5;300;3.743;3210
md_50_15;20;5;300;1.407;3804
md_50_16;20;5;300;5.061;3696
md_50_17;20;5;300;2.104;3213
md_50_18;20;5;300;2.606;3150
md_50_19;20;5;300;1.701;3956
md_50_2;10;5;150;1.94;1769
md_50_20;20;5;300;1.558;4007
md_50_21;30;5;450;2.14;4344
md_50_22;30;5;450;2.557;5190
md_50_23;30;5;450;1.461;5790
md_50_24;30;5;450;3.759;6985
md_50_25;30;5;450;2.712;5050
md_50_26;30;5;450;1.712;3980
md_50_27;30;5;450;1.418;5218
md_50_28;30;5;450;2.164;6174
md_50_29;30;5;450;1.27;5732
md_50_3;10;5;150;1.829;1632
md_50_30;30;5;450;1.791;6392
md_50_4;10;5;150;2.323;1710
md_50_5;10;5;150;1.652;1435
md_50_6;10;5;150;2.077;1597
md_50_7;10;5;150;1.781;1584
md_50_8;10;5;150;2.13;1652
md_50_9;10;5;150;1.69;1946
md_75_1;10;5;150;1.865;1591
md_75_10;10;5;150;2.093;2017
md_75_11;20;5;300;1.45;3894
md_75_12;20;5;300;1.921;4449
md_75_13;20;5;300;3.438;3830
md_75_14;20;5;300;1.823;4354
md_75_15;20;5;300;1.765;3492
md_75_16;20;5;300;1.777;3171
md_75_17;20;5;300;2.814;3314
md_75_18;20;5;300;2.192;3320
md_75_19;20;5;300;2.002;3827
md_75_2;10;5;150;2.291;1649
md_75_20;20;5;300;2.062;4082
md_75_21;30;5;450;3.22;4836
md_75_22;30;5;450;1.969;5744
md_75_23;30;5;450;1.696;5500
md_75_24;30;5;450;1.733;4681
md_75_25;30;5;450;2.943;5137
md_75_26;30;5;450;1.547;5189
md_75_27;30;5;450;2.822;4610
md_75_28;30;5;450;3.194;5099
md_75_29;30;5;450;4.053;5349
md_75_3;10;5;150;1.709;1911
md_75_30;30;5;450;2.147;5647
md_75_4;10;5;150;1.633;1900
md_75_5;10;5;150;2.107;2016
md_75_6;10;5;150;2.655;1905
md_75_7;10;5;150;2.121;1602
md_75_8;10;5;150;2.238;1639
md_75_9;10;5;150;1.851;1946
sm_0_1;2;3;10;2.113;186
sm_0_10;3;3;15;1.938;325
sm_0_11;4;3;20;2.088;546
sm_0_12;4;3;20;2.45;537
sm_0_13;4;3;20;1.392;373
sm_0_14;4;3;20;1.491;540
sm_0_15;4;3;20;1.468;405
sm_0_16;5;3;25;1.544;511
sm_0_17;5;3;25;2.288;459
sm_0_18;5;3;25;1.663;503
sm_0_19;5;3;25;1.802;612
sm_0_2;2;3;10;2.012;267
sm_0_20;5;3;25;1.439;401
sm_0_3;2;3;10;1.849;168
sm_0_4;2;3;10;2.082;214
sm_0_5;2;3;10;2.279;192
sm_0_6;3;3;15;2.3;292
sm_0_7;3;3;15;2.071;297
sm_0_8;3;3;15;2;339
sm_0_9;3;3;15;2.015;287
sm_100_1;2;3;10;2.261;176
sm_100_10;3;3;15;1.552;325
sm_100_11;4;3;20;1.115;332
sm_100_12;4;3;20;1.569;351
sm_100_13;4;3;20;1.761;447
sm_100_14;4;3;20;1.068;366
sm_100_15;4;3;20;2.453;361
sm_100_16;5;3;25;1.429;600
sm_100_17;5;3;25;2.387;498
sm_100_18;5;3;25;1.148;477
sm_100_19;5;3;25;1.397;428
sm_100_2;2;3;10;1.5;212
sm_100_20;5;3;25;1.13;522
sm_100_3;2;3;10;1.402;223
sm_100_4;2;3;10;1.378;212
sm_100_5;2;3;10;1.296;210
sm_100_6;3;3;15;1.873;372
sm_100_7;3;3;15;2.176;328
sm_100_8;3;3;15;1.587;381
sm_100_9;3;3;15;1.5;262
sm_50_1;2;3;10;2.529;174
sm_50_10;3;3;15;3.281;327
sm_50_11;4;3;20;1.485;418
sm_50_12;4;3;20;4.965;528
sm_50_13;4;3;20;1.667;368
sm_50_14;4;3;20;2.382;388
sm_50_15;4;3;20;1.315;459
sm_50_16;5;3;25;1.314;563
sm_50_17;5;3;25;1.311;544
sm_50_18;5;3;25;1.647;572
sm_50_19;5;3;25;2.508;534
sm_50_2;2;3;10;1.273;170
sm_50_20;5;3;25;1.451;474
sm_50_3;2;3;10;2.754;240
sm_50_4;2;3;10;2.361;258
sm_50_5;2;3;10;1.918;257
sm_50_6;3;3;15;1.54;350
sm_50_7;3;3;15;1.23;272
sm_50_8;3;3;15;4.273;240
sm_50_9;3;3;15;3.532;326
sm_75_1;2;3;10;2.197;209
sm_75_10;3;3;15;2.451;294
sm_75_11;4;3;20;2.303;416
sm_75_12;4;3;20;2.158;338
sm_75_13;4;3;20;3.939;456
sm_75_14;4;3;20;2.724;342
sm_75_15;4;3;20;3.287;463
sm_75_16;5;3;25;1.466;568
sm_75_17;5;3;25;2.254;518
sm_75_18;5;3;25;1.041;740
sm_75_19;5;3;25;1.879;516
sm_75_2;2;3;10;1.238;207
sm_75_20;5;3;25;1.438;464
sm_75_3;2;3;10;3;201
sm_75_4;2;3;10;3.392;202
sm_75_5;2;3;10;3.03;200
sm_75_6;3;3;15;1.922;365
sm_75_7;3;3;15;1.513;354
sm_75_8;3;3;15;2.483;314
sm_75_9;3;3;15;1.455;276
